id,open,high,low,close,volume
1,100.0,100.0865,99.7282,99.7839,381412
2,99.7839,101.3059,98.8386,100.8369,89122
3,100.8369,100.8948,100.3954,100.5115,61941
4,100.5115,102.4857,99.8242,102.2568,295223
5,102.2568,103.2818,102.236,102.6263,412618
6,102.6263,102.7723,102.0348,102.4668,119965
7,102.4668,103.8972,102.2785,103.7769,431372
8,103.7769,104.8704,103.2267,104.1492,378379
9,104.1492,104.4526,99.7614,100.2193,423232
10,100.2193,102.2646,99.5452,101.5333,309808
11,101.5333,101.6802,101.3467,101.4039,85906
12,101.4039,102.6568,101.1745,102.6319,175088
13,102.6319,102.9906,101.4564,101.6914,170140
14,101.6914,103.1065,101.4113,102.4404,324108
15,102.4404,104.304,102.1876,103.5931,495285
16,103.5931,105.2535,103.1015,104.8468,358076
17,104.8468,106.9979,104.83,106.2761,191953
18,106.2761,106.6943,105.934,106.656,474309
19,106.656,107.8907,106.3751,107.586,461546
20,107.586,107.9652,106.2383,106.3386,160982
21,106.3386,106.4854,104.3328,105.2534,229730
22,105.2534,105.5854,101.9288,103.6297,279286
23,103.6297,104.1057,103.0873,104.0217,406435
24,104.0217,105.5216,103.9366,105.3617,221728
25,105.3617,107.2171,104.3851,107.2021,55166
26,107.2021,107.3405,105.92,106.6638,291636
27,106.6638,107.3755,106.0291,106.4373,254175
28,106.4373,108.4492,106.1451,107.4706,168525
29,107.4706,107.4718,105.6671,106.5295,184300
30,106.5295,106.9697,104.4217,104.9468,118777
31,104.9468,105.7141,104.8368,105.0935,50257
32,105.0935,105.1381,103.1905,103.2791,468094
33,103.2791,105.9792,103.218,105.3276,445104
34,105.3276,106.0122,105.2584,105.8123,268695
35,105.8123,108.4688,105.7863,108.1126,263877
36,108.1126,108.4859,107.2093,107.3301,442594
37,107.3301,107.4903,105.6291,106.4136,140517
38,106.4136,107.0308,104.3093,105.8204,342445
39,105.8204,106.0493,103.886,104.1445,202138
40,104.1445,105.1894,103.954,104.882,149097
41,104.882,107.0977,104.7387,106.7931,436835
42,106.7931,110.355,106.6343,110.0223,351040
43,110.0223,110.4601,109.4244,110.2004,262701
44,110.2004,110.3963,108.5448,109.4311,135684
45,109.4311,111.0415,108.9336,110.7377,378084
46,110.7377,112.1818,109.4617,111.515,94288
47,111.515,111.7765,110.1531,110.3971,135594
48,110.3971,110.8935,109.3647,109.5308,175345
49,109.5308,110.6679,108.5996,109.5349,297646
50,109.5349,112.3851,108.9403,110.5778,426212
51,110.5778,114.1603,110.4025,113.9392,268538
52,113.9392,114.0535,112.7097,113.2029,76385
53,113.2029,114.2041,109.9619,110.0454,254753
54,110.0454,113.7715,109.4613,112.6598,497940
55,112.6598,112.9331,110.1807,110.4169,485919
56,110.4169,112.0062,110.1186,111.4569,386589
57,111.4569,113.55,110.4784,113.3172,120844
58,113.3172,113.5154,113.2148,113.2646,133621
59,113.2646,113.6862,111.3808,111.4043,450629
60,111.4043,112.1751,110.7327,112.1591,328721
61,112.1591,112.4808,109.2675,110.4236,141916
62,110.4236,110.5015,109.5627,109.9237,228103
63,109.9237,110.2959,108.988,109.3252,82644
64,109.3252,113.3537,108.8591,111.6162,498243
65,111.6162,112.7005,111.5053,112.5467,446388
66,112.5467,116.3696,112.2163,116.021,120986
67,116.021,117.87,114.8932,117.1958,344289
68,117.1958,118.1163,114.2909,114.3362,184720
69,114.3362,115.3477,112.3352,112.4998,98166
70,112.4998,113.4315,112.3689,113.0549,322173
71,113.0549,113.3853,112.59,112.8503,269839
72,112.8503,113.6515,111.4311,111.9731,91534
73,111.9731,112.159,110.0439,110.9023,336701
74,110.9023,111.0214,110.0825,110.9597,298256
75,110.9597,110.9903,109.8495,110.7718,456767
76,110.7718,113.0969,110.5038,112.187,312129
77,112.187,112.8643,111.8038,112.6549,408255
78,112.6549,116.34,111.8331,115.654,144534
79,115.654,115.889,115.4587,115.6561,232869
80,115.6561,115.8665,112.3982,112.5974,468446
81,112.5974,116.33,112.2127,115.3022,61153
82,115.3022,115.3401,111.9801,112.4278,468867
83,112.4278,114.3394,112.2811,113.3938,404318
84,113.3938,114.1829,111.66,112.2971,436366
85,112.2971,113.6803,111.8836,112.7732,407905
86,112.7732,113.1046,112.6649,113.0892,136908
87,113.0892,113.9702,111.2777,111.6735,338666
88,111.6735,112.8118,110.5922,111.4228,291297
89,111.4228,112.2042,111.1146,112.112,483140
90,112.112,112.1352,111.6996,111.938,245553
91,111.938,112.3679,111.293,111.7631,223337
92,111.7631,112.103,110.4745,110.652,368953
93,110.652,114.0831,109.878,114.071,383877
94,114.071,114.2986,113.0809,113.4988,81488
95,113.4988,113.883,112.4303,112.8097,373889
96,112.8097,115.6234,112.4009,115.4897,233776
97,115.4897,115.7306,114.0988,114.4627,473163
98,114.4627,116.0625,113.4937,115.5864,326981
99,115.5864,116.1844,114.5804,114.9916,243449
100,114.9916,115.6337,114.6404,114.9947,259244
101,114.9947,115.1179,112.962,114.0225,408211
102,114.0225,114.6654,113.8382,114.5636,281953
103,114.5636,114.8986,113.3066,113.6542,352758
104,113.6542,113.7071,111.0511,111.3801,60991
105,111.3801,112.0027,111.2661,111.4353,236498
106,111.4353,111.6607,110.7235,110.9628,363359
107,110.9628,110.976,109.8123,109.8416,387934
108,109.8416,109.8714,109.4747,109.7102,241315
109,109.7102,112.5307,109.5507,111.4059,162139
110,111.4059,111.7257,110.9017,111.3517,410637
111,111.3517,112.6425,108.1351,109.1455,451141
112,109.1455,109.751,106.5546,107.0728,277150
113,107.0728,108.5402,106.414,107.9892,263603
114,107.9892,108.011,106.1233,106.4995,336947
115,106.4995,107.284,106.2193,106.6801,84867
116,106.6801,106.7687,105.4327,105.8209,193869
117,105.8209,105.889,104.9378,105.0282,367888
118,105.0282,107.791,104.8273,107.3205,294175
119,107.3205,107.4923,105.4882,106.439,312835
120,106.439,108.3346,105.5105,108.0038,394517
121,108.0038,108.0409,107.3853,107.8846,434051
122,107.8846,110.3979,107.7343,109.899,386382
123,109.899,110.0933,107.8797,107.9445,246126
124,107.9445,109.4274,107.8624,108.9823,355613
125,108.9823,109.1522,107.9835,108.2393,330015
126,108.2393,108.8921,108.1549,108.3988,303976
127,108.3988,110.6415,108.0326,110.5199,72628
128,110.5199,112.027,110.2824,111.777,197080
129,111.777,112.3672,111.7651,111.8802,163522
130,111.8802,111.9663,108.9989,109.0476,292738
131,109.0476,110.4401,108.5359,110.4398,343289
132,110.4398,110.4723,107.1008,108.3227,139712
133,108.3227,109.2149,107.8007,109.1782,303786
134,109.1782,110.9235,108.4185,110.7685,395104
135,110.7685,112.3757,110.7653,111.7813,418685
136,111.7813,112.0146,110.9889,111.0415,61555
137,111.0415,111.7373,109.6998,110.1852,371756
138,110.1852,110.8654,109.4415,109.7935,332259
139,109.7935,112.3774,109.3944,111.8634,104474
140,111.8634,112.7325,110.1334,110.2219,206241
141,110.2219,110.4312,108.4658,108.9223,432309
142,108.9223,109.026,108.6588,108.871,482354
143,108.871,109.5778,106.8737,107.0154,380207
144,107.0154,107.4029,105.3833,105.4687,413689
145,105.4687,105.6052,103.049,103.7938,170777
146,103.7938,105.3133,103.0374,104.7512,88998
147,104.7512,105.8297,104.0815,105.5766,220545
148,105.5766,106.9893,105.4016,106.0295,131827
